X,year,month,week_day,weeknum
20180730,2018,7,1,31
20180731,2018,7,2,31
20180801,2018,8,3,31
20180802,2018,8,4,31
20180803,2018,8,5,31
20180806,2018,8,1,32
20180807,2018,8,2,32
20180808,2018,8,3,32
20180809,2018,8,4,32
20180810,2018,8,5,32
20180813,2018,8,1,33
20180814,2018,8,2,33
20180815,2018,8,3,33
20180816,2018,8,4,33
20180817,2018,8,5,33
20180820,2018,8,1,34
20180821,2018,8,2,34
20180822,2018,8,3,34
20180823,2018,8,4,34
20180824,2018,8,5,34
20180827,2018,8,1,35
20180828,2018,8,2,35
20180829,2018,8,3,35
20180830,2018,8,4,35
20180831,2018,8,5,35
