iron_ore_price,year,month,week_day,week_num
65.82,2008,12,5,49
69.38,2008,12,5,50
74.15,2008,12,5,51
76.43,2008,12,5,52
72.54,2009,1,5,1
73.64,2009,1,5,2
74.09,2009,1,5,3
73.34,2009,1,5,4
74.25,2009,1,5,5
78.83,2009,2,5,6
81.86,2009,2,5,7
74.98,2009,2,5,8
69.04,2009,2,5,9
64.81,2009,3,5,10
62.37,2009,3,5,11
62.47,2009,3,5,12
59.7,2009,3,5,13
60.48,2009,4,5,14
59.96,2009,4,5,15
59.23,2009,4,5,16
58.73,2009,4,5,17
60.31,2009,5,5,18
61.38,2009,5,5,19
63.67,2009,5,5,20
64.15,2009,5,5,21
65.22,2009,5,3,21
64.06,2009,5,4,22
64.06,2009,5,5,22
67.28,2009,6,1,22
66.34,2009,6,2,22
66.93,2009,6,3,22
70.65,2009,6,4,23
70.33,2009,6,5,23
72.61,2009,6,1,23
71.2,2009,6,2,23
72.58,2009,6,3,23
72.52,2009,6,4,24
72.31,2009,6,5,24
72.72,2009,6,1,24
75.7,2009,6,2,24
75.59,2009,6,3,24
75.17,2009,6,4,25
75.5,2009,6,5,25
76.26,2009,6,1,25
76.39,2009,6,2,25
76.43,2009,6,3,25
75.37,2009,6,4,26
75.82,2009,6,5,26
75.65,2009,6,1,26
76.29,2009,6,2,26
76.5,2009,7,3,26
77.58,2009,7,4,27
78.47,2009,7,5,27
77.68,2009,7,1,27
79.46,2009,7,2,27
80.08,2009,7,3,27
81.21,2009,7,4,28
80.84,2009,7,5,28
81.62,2009,7,1,28
80.78,2009,7,2,28
81.76,2009,7,3,28
81.16,2009,7,4,29
83.82,2009,7,5,29
84.44,2009,7,1,29
85.8,2009,7,2,29
87.76,2009,7,3,29
87.97,2009,7,4,30
89.26,2009,7,5,30
90.54,2009,7,1,30
90.83,2009,7,2,30
90.33,2009,7,3,30
93.05,2009,7,4,31
93.31,2009,7,5,31
94.17,2009,8,1,31
97.47,2009,8,2,31
97.83,2009,8,3,31
102.6,2009,8,4,32
102.94,2009,8,5,32
102.42,2009,8,1,32
102.54,2009,8,2,32
102.93,2009,8,3,32
101.94,2009,8,4,33
101.15,2009,8,5,33
99.04,2009,8,1,33
95.13,2009,8,2,33
93.89,2009,8,3,33
94.3,2009,8,4,34
91.41,2009,8,5,34
89.1,2009,8,1,34
88.32,2009,8,2,34
84.5,2009,8,3,34
83.85,2009,8,4,35
82.44,2009,8,5,35
79.11,2009,9,2,35
77.39,2009,9,3,35
76.23,2009,9,4,36
75.26,2009,9,5,36
75.44,2009,9,1,36
75.39,2009,9,2,36
75.78,2009,9,3,36
76.88,2009,9,4,37
77.25,2009,9,5,37
78.74,2009,9,1,37
78.17,2009,9,2,37
78.68,2009,9,3,37
81.49,2009,9,4,38
80.81,2009,9,5,38
81.14,2009,9,1,38
81.91,2009,9,2,38
84.08,2009,9,3,38
84.52,2009,9,4,39
85.37,2009,9,5,39
85.63,2009,9,1,39
85.68,2009,9,2,39
85.06,2009,9,3,39
85.06,2009,10,4,40
85.06,2009,10,5,40
85.06,2009,10,1,40
85.06,2009,10,2,40
85.06,2009,10,3,40
85.06,2009,10,4,41
85.98,2009,10,5,41
86.08,2009,10,1,41
86.38,2009,10,2,41
84.39,2009,10,3,41
84.41,2009,10,4,42
84.7,2009,10,5,42
85.2,2009,10,1,42
86.22,2009,10,2,42
